#  <x>         <x²>         <y>        <y²>
0.000000    0.600000    -0.400000    0.400000
0.000000    0.800000    0.000000    0.800000
0.100000    1.500000    0.300000    1.100000
-0.600000    1.800000    -0.400000    3.400000
0.500000    3.500000    -0.100000    1.900000
-0.900000    4.300000    -0.500000    4.300000
0.200000    3.000000    0.000000    5.200000
-0.400000    2.000000    -0.200000    3.600000
0.300000    6.500000    0.700000    2.500000
0.800000    4.000000    -0.600000    7.600000
-0.600000    12.600000    0.800000    3.200000
0.800000    4.000000    0.400000    1.600000
-1.100000    8.100000    0.900000    3.300000
0.600000    3.600000    1.000000    8.400000
-1.000000    11.400000    -0.400000    6.800000
0.800000    15.200000    -0.800000    6.800000
0.800000    7.800000    0.400000    8.800000
1.100000    2.100000    -0.100000    14.900000
1.900000    15.900000    -0.300000    16.700001
0.700000    7.500000    0.500000    2.700000
0.900000    13.100000    0.300000    8.700000
-0.100000    18.700001    -1.300000    13.500000
1.600000    14.400000    0.200000    10.600000
0.300000    13.700000    -1.900000    15.700000
0.100000    6.700000    -1.700000    22.700001
1.100000    13.300000    0.700000    12.500000
1.200000    10.200000    0.000000    15.600000
1.200000    27.799999    -0.400000    9.800000
2.600000    22.600000    1.200000    13.600000
1.900000    17.700001    1.900000    19.299999
-1.000000    9.600000    -0.800000    17.799999
0.300000    16.299999    0.300000    13.500000
1.800000    14.400000    -0.400000    30.200001
-2.600000    11.800000    -2.800000    15.400000
0.500000    8.700000    0.300000    13.900000
-1.100000    5.900000    -0.900000    20.299999
3.600000    22.799999    2.800000    23.799999
2.600000    31.400000    -1.600000    40.599998
0.400000    20.200001    -1.400000    12.400000
1.000000    27.400000    -1.800000    31.400000
-0.600000    23.200001    -0.400000    6.600000
1.600000    13.600000    1.400000    21.200001
3.300000    34.299999    0.500000    19.100000
-0.300000    11.900000    0.900000    29.900000
-2.500000    20.100000    -0.100000    17.299999
-0.400000    16.799999    0.000000    26.400000
-1.100000    18.500000    2.300000    12.100000
-1.800000    29.400000    -0.600000    17.000000
0.700000    14.900000    -2.100000    31.299999
-0.500000    43.500000    2.300000    16.700001
1.800000    37.599998    -1.200000    19.000000
2.800000    31.400000    -0.800000    12.600000
4.000000    69.800003    -1.800000    18.000000
0.200000    40.799999    0.800000    36.400002
0.700000    6.900000    2.300000    39.299999
-1.200000    17.799999    -0.200000    13.800000
0.400000    19.600000    0.400000    15.000000
-1.300000    51.299999    2.500000    34.500000
-1.400000    32.400002    0.600000    7.400000
-0.200000    27.600000    -0.200000    43.599998
-0.700000    18.100000    -1.900000    38.900002
1.400000    32.599998    2.400000    39.799999
1.100000    36.299999    1.300000    38.299999
-2.200000    33.799999    -5.000000    58.599998
-2.700000    41.900002    -2.100000    16.700001
-0.900000    56.500000    -0.500000    44.500000
-2.300000    12.700000    0.500000    33.900002
1.000000    58.400002    -0.200000    29.200001
-1.200000    37.400002    -1.400000    20.799999
-1.600000    16.600000    1.800000    66.599998
0.700000    20.100000    2.500000    37.700001
4.700000    69.699997    -0.300000    38.500000
-0.900000    39.700001    -2.900000    42.099998
-2.800000    42.799999    0.000000    13.600000
-2.000000    30.799999    2.800000    39.799999
2.400000    68.800003    -1.000000    22.400000
2.600000    42.799999    2.200000    50.599998
-1.900000    20.700001    -2.100000    40.299999
1.800000    61.400002    0.200000    14.000000
0.600000    20.799999    -1.800000    21.200001
-1.600000    34.000000    0.400000    39.799999
1.500000    34.500000    -3.500000    35.299999
1.800000    17.799999    -1.000000    71.199997
-2.200000    21.600000    -0.800000    42.799999
0.700000    63.500000    -0.900000    31.900000
1.700000    23.100000    1.100000    33.500000
1.300000    20.299999    -0.300000    6.700000
3.900000    81.099998    2.900000    40.700001
-0.100000    18.500000    1.300000    49.700001
-2.600000    46.200001    -1.200000    44.200001
-1.900000    13.300000    -0.500000    38.900002
-0.500000    27.500000    -2.900000    59.099998
0.200000    49.000000    5.400000    55.200001
-1.700000    62.099998    0.300000    68.099998
-1.600000    26.000000    -0.200000    58.599998
-1.300000    42.299999    2.900000    27.500000
1.700000    88.900002    0.700000    36.099998
2.100000    41.099998    -1.100000    64.699997
2.400000    29.600000    5.200000    72.599998
3.400000    54.000000    -0.600000    40.000000
